x_index        y_index        z_index      Dose (Gy)
0              0              0    7.07369e-06
1              0              0    7.24126e-06
2              0              0    7.26547e-06
3              0              0    7.31169e-06
4              0              0    7.35542e-06
5              0              0    7.40674e-06
6              0              0    7.43773e-06
7              0              0    7.48612e-06
8              0              0    7.54936e-06
9              0              0    7.59912e-06
10              0              0    7.63975e-06
11              0              0    7.70708e-06
12              0              0     7.7459e-06
13              0              0    7.81118e-06
14              0              0     7.8535e-06
15              0              0    7.92231e-06
16              0              0    7.99725e-06
17              0              0    8.06835e-06
18              0              0    8.12864e-06
19              0              0    8.19901e-06
20              0              0    8.28184e-06
21              0              0    8.36793e-06
22              0              0    8.45156e-06
23              0              0    8.53111e-06
24              0              0    8.63216e-06
25              0              0    8.75369e-06
26              0              0    8.86172e-06
27              0              0    8.98004e-06
28              0              0    9.09452e-06
29              0              0    9.23387e-06
30              0              0    9.39474e-06
31              0              0    9.53282e-06
32              0              0    9.70741e-06
33              0              0    9.90474e-06
34              0              0    1.01135e-05
35              0              0    1.03272e-05
36              0              0    1.05629e-05
37              0              0    1.08238e-05
38              0              0    1.11069e-05
39              0              0    1.14373e-05
40              0              0     1.1813e-05
41              0              0    1.22165e-05
42              0              0    1.26771e-05
43              0              0    1.32668e-05
44              0              0    1.38583e-05
45              0              0    1.46487e-05
46              0              0    1.56114e-05
47              0              0    1.68021e-05
48              0              0    1.82853e-05
49              0              0     2.0407e-05
50              0              0    2.37401e-05
51              0              0    3.15501e-05
52              0              0    3.22929e-05
53              0              0    2.43326e-06
54              0              0    2.13518e-06
55              0              0    1.86613e-06
56              0              0    1.61572e-06
57              0              0    1.42056e-06
58              0              0    1.28257e-06
59              0              0     1.1429e-06
60              0              0    1.03346e-06
61              0              0    9.28547e-07
62              0              0    8.54843e-07
63              0              0    8.00958e-07
64              0              0    7.50126e-07
65              0              0    6.97594e-07
66              0              0    6.52992e-07
67              0              0     6.0454e-07
68              0              0    5.73197e-07
69              0              0     5.5475e-07
70              0              0    5.20596e-07
71              0              0    4.96211e-07
72              0              0    4.61362e-07
73              0              0      4.286e-07
74              0              0    4.05051e-07
75              0              0    3.98629e-07
76              0              0    3.84786e-07
77              0              0    3.52571e-07
78              0              0    3.43438e-07
79              0              0    3.36437e-07
80              0              0    3.25765e-07
81              0              0    3.13045e-07
82              0              0    3.00226e-07
83              0              0    2.96569e-07
84              0              0    3.00575e-07
85              0              0    2.97898e-07
86              0              0    2.83712e-07
87              0              0     2.7215e-07
88              0              0    2.56839e-07
89              0              0    2.47412e-07
90              0              0    2.43367e-07
91              0              0    2.38523e-07
92              0              0    2.33611e-07
93              0              0     2.3776e-07
94              0              0    2.20332e-07
95              0              0    2.18301e-07
96              0              0    2.11163e-07
97              0              0    2.15705e-07
98              0              0    2.06401e-07
99              0              0    2.05074e-07
100              0              0    1.95642e-07
101              0              0    1.96329e-07
102              0              0    1.92406e-07
103              0              0    1.87463e-07
104              0              0    1.82339e-07
105              0              0    1.79301e-07
106              0              0     1.7365e-07
107              0              0    1.71921e-07
108              0              0    1.70573e-07
109              0              0    1.72014e-07
110              0              0    1.68452e-07
111              0              0    1.68772e-07
112              0              0    1.72451e-07
113              0              0     1.6705e-07
114              0              0     1.6347e-07
115              0              0    1.60015e-07
116              0              0    1.59079e-07
117              0              0    1.56866e-07
118              0              0     1.5664e-07
119              0              0    1.56311e-07
120              0              0    1.52695e-07
121              0              0    1.49918e-07
122              0              0    1.47903e-07
123              0              0    1.44208e-07
124              0              0    1.41458e-07
125              0              0    1.43622e-07
126              0              0    1.41249e-07
127              0              0    1.40384e-07
128              0              0    1.36805e-07
129              0              0    1.37113e-07
130              0              0    1.34367e-07
